      0: system.ruby.l1_cntrl0.L1Dcache:  HelloWorld! From a SimObject (startup).
      0: system.ruby.l1_cntrl0.L1Icache:  HelloWorld! From a SimObject (startup).
      0: system.ruby.l2_cntrl0.L2cache:  HelloWorld! From a SimObject (startup).
 260000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 2.
 260000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 4.
 270000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 4.
 270000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 2.
 270000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 2.
 280000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 2.
 280000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 2.
 280000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 4.
 290000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 4.
 290000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 2.
 290000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 2.
 300000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 2.
 300000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 2.
 300000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 4.
 310000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 5.
 310000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 2.
 310000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 3.
 320000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 3.
 320000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 2.
 320000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 5.
 330000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 5.
 330000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 2.
 330000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 3.
 340000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 3.
 340000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 2.
 340000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 5.
 350000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 5.
 350000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 2.
 350000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 3.
 360000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 3.
 360000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 2.
 360000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 5.
 370000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 5.
 370000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 2.
 370000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 3.
 380000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 4.
 380000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 2.
 380000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 6.
 390000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 6.
 390000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 2.
 390000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 4.
 400000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 4.
 400000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 2.
 400000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 6.
 410000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 6.
 410000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 2.
 410000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 4.
 420000: system.ruby.l1_cntrl0.L1Dcache: Hello World! Occupied value : 4.
 420000: system.ruby.l1_cntrl0.L1Icache: Hello World! Occupied value : 2.
 420000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 6.
 430000: system.ruby.l2_cntrl0.L2cache: Hello World! Occupied value : 6.
